,WT2_S2_L001,WT1_S1_L001,KO1_S4_L001,WT3_S3_L001,KO2_S5_L001,KO3_S6_L001
ENSMUSG00000058806,247.0,262.0,364.0,297.0,231.0,369.0
ENSMUSG00000058807,0.0,0.0,0.0,0.0,0.0,34.74
ENSMUSG00000058809,164.05,210.33,190.63,176.34,103.18,144.41
ENSMUSG00000058812,0.0,2.01,1.0,1.0,2.0,1.01
ENSMUSG00000058816,0.0,1.69,2.89,11.77,1.76,9.87
ENSMUSG00000058818,101.05,135.69,150.12,115.86,138.16,122.79
ENSMUSG00000058820,104.0,82.0,73.0,115.0,48.0,41.0
ENSMUSG00000058831,8.0,8.0,3.0,8.0,8.0,16.0
ENSMUSG00000058833,1854.0,3113.0,1764.0,2786.0,2030.0,3116.0
ENSMUSG00000058835,2540.31,1964.56,2387.68,2394.09,1911.81,2046.63
ENSMUSG00000058838,585.58,581.09,458.94,861.41,704.45,740.65
ENSMUSG00000058856,1.72,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000058869,0.0,0.0,0.0,1.0,0.0,0.0
ENSMUSG00000058873,0.0,0.0,1.23,0.0,0.0,0.0
ENSMUSG00000058881,1821.0,1423.0,2091.0,1563.0,1326.0,1546.0
ENSMUSG00000058883,42.26,101.99,93.71,108.0,50.09,82.0
ENSMUSG00000058884,35.26,88.78,51.0,86.51,43.67,33.41
ENSMUSG00000058886,891.0,1272.0,1190.0,1245.0,1356.0,1279.0
ENSMUSG00000058897,47.0,16.0,36.0,32.0,36.0,38.0
ENSMUSG00000058900,81.21,62.41,50.55,71.93,51.88,42.54
ENSMUSG00000058904,17.0,6.0,12.48,5.0,8.0,16.0
ENSMUSG00000058905,0.0,2.0,0.0,3.17,0.0,0.0
ENSMUSG00000058908,0.0,1.0,0.0,0.0,0.0,0.0
ENSMUSG00000058914,7.0,6.0,16.0,8.0,2.0,13.0
ENSMUSG00000058921,443.19,243.4,241.5,315.35,226.18,185.56
ENSMUSG00000058922,603.29,445.72,937.3,657.15,767.31,569.72
ENSMUSG00000058923,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000058925,8.0,7.0,17.0,10.0,14.0,11.0
ENSMUSG00000058927,2519.57,2723.66,2509.21,3083.67,2101.67,2947.06
ENSMUSG00000058932,16.08,35.03,15.31,21.45,9.3,44.54
ENSMUSG00000058933,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000058934,0.0,0.0,0.0,0.0,0.0,3.0
ENSMUSG00000058935,1.0,1.0,4.0,0.0,1.0,3.0
ENSMUSG00000058952,67.0,70.0,76.0,74.0,58.0,106.0
ENSMUSG00000058953,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000058966,48.0,40.0,59.0,73.0,33.0,55.0
ENSMUSG00000058975,149.0,94.0,129.0,150.0,71.0,141.0
ENSMUSG00000058976,0.0,1.0,2.0,1.0,0.0,0.0
ENSMUSG00000058979,832.0,884.0,739.0,785.0,590.0,920.0
ENSMUSG00000058981,145.86,77.83,115.06,146.82,70.1,61.41
ENSMUSG00000058997,1313.0,1231.0,1264.0,1331.0,946.0,1003.0
ENSMUSG00000059003,77.0,66.0,73.0,43.0,39.0,85.0
ENSMUSG00000059005,12375.45,12943.96,15589.46,12801.01,9263.89,14178.2
ENSMUSG00000059013,1154.0,1285.0,2244.0,1405.0,1391.0,1848.0
ENSMUSG00000059014,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059022,6.0,6.0,6.0,9.0,9.0,17.0
ENSMUSG00000059023,1.0,3.0,3.0,1.0,3.3,13.0
ENSMUSG00000059027,6.0,9.0,6.0,12.0,7.0,4.0
ENSMUSG00000059030,11.31,11.35,10.37,10.91,16.53,20.12
ENSMUSG00000059031,13.12,6.5,8.28,3.33,12.14,3.04
ENSMUSG00000059033,0.0,0.0,0.0,3.19,1.06,4.24
ENSMUSG00000059040,164.48,652.54,11074.0,480.48,4125.41,390.82
ENSMUSG00000059041,26.34,10.07,18.22,25.42,187.06,409.45
ENSMUSG00000059042,6.0,0.0,0.0,0.0,0.0,3.0
ENSMUSG00000059043,271.0,279.0,335.0,213.0,251.0,235.0
ENSMUSG00000059049,238.0,174.0,314.0,192.0,232.0,220.0
ENSMUSG00000059058,186.65,232.49,10.52,251.58,6.6,137.93
ENSMUSG00000059060,7.0,0.0,3.0,12.0,4.0,6.0
ENSMUSG00000059064,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059069,79.46,129.52,128.57,172.62,81.32,99.17
ENSMUSG00000059070,8039.92,12030.14,8447.36,11840.92,11097.81,14918.02
ENSMUSG00000059077,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059087,28.0,18.0,45.0,21.0,9.0,22.0
ENSMUSG00000059089,30.0,30.0,32.0,32.0,40.0,28.0
ENSMUSG00000059101,10.42,10.16,9.04,4.0,2.06,12.02
ENSMUSG00000059105,6.0,0.0,2.02,8.0,1.0,4.0
ENSMUSG00000059106,68.97,49.37,29.73,72.88,25.84,27.0
ENSMUSG00000059108,28.0,13.0,77.0,9.0,51.0,22.0
ENSMUSG00000059112,79.1,82.8,98.75,32.16,80.25,89.95
ENSMUSG00000059113,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059114,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059119,4049.0,4557.0,4553.0,4870.0,3743.0,4723.0
ENSMUSG00000059128,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059134,7.97,12.22,6.13,16.96,11.97,7.0
ENSMUSG00000059136,17.05,10.16,14.36,5.13,6.05,5.02
ENSMUSG00000059142,307.0,228.0,339.0,265.0,219.0,226.0
ENSMUSG00000059146,93.0,54.0,81.0,71.0,43.0,58.0
ENSMUSG00000059149,3149.77,1527.75,1919.58,1641.03,1797.09,1441.0
ENSMUSG00000059150,0.0,1.0,0.0,0.0,0.0,0.0
ENSMUSG00000059159,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059169,0.0,1.0,0.0,0.0,3.0,6.0
ENSMUSG00000059173,319.0,399.0,294.0,388.0,201.0,260.0
ENSMUSG00000059179,0.0,3.34,20.62,7.48,5.5,5.08
ENSMUSG00000059182,528.0,524.0,599.0,560.0,577.0,510.0
ENSMUSG00000059183,261.0,238.0,278.0,218.0,205.0,296.0
ENSMUSG00000059187,4.0,2.0,13.0,9.0,17.0,12.0
ENSMUSG00000059189,18.0,13.0,25.0,10.0,18.0,17.0
ENSMUSG00000059195,1219.15,727.72,1682.92,1079.02,1237.47,751.8
ENSMUSG00000059201,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059203,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059205,38.12,31.98,42.72,57.99,16.36,39.81
ENSMUSG00000059206,0.0,0.0,0.0,2.0,1.0,0.0
ENSMUSG00000059208,7602.88,9379.48,9993.05,9107.67,5698.55,10748.36
ENSMUSG00000059213,38.0,33.0,4.0,49.0,15.0,10.0
ENSMUSG00000059218,2.0,0.0,1.0,0.0,0.0,0.0
ENSMUSG00000059227,15.0,4.0,5.0,14.0,4.0,2.02
ENSMUSG00000059229,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059230,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059237,55.89,56.91,58.14,70.48,47.11,28.17
ENSMUSG00000059244,0.0,0.0,0.0,0.0,0.0,3.0
ENSMUSG00000059246,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059248,2655.0,2668.0,3325.0,2895.0,2437.0,3089.0
ENSMUSG00000059251,0.0,0.0,3.0,0.0,0.0,0.0
ENSMUSG00000059252,74.85,39.01,35.61,47.3,40.65,46.99
ENSMUSG00000059256,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059263,3023.0,2669.0,3215.0,2932.0,2086.0,2787.0
ENSMUSG00000059273,2097.0,1605.0,2154.0,1854.0,1316.0,1657.0
ENSMUSG00000059277,111.0,84.0,130.0,128.0,122.0,114.0
ENSMUSG00000059278,1058.43,1422.1,912.37,1411.07,1133.3,1549.03
ENSMUSG00000059279,103.45,96.75,195.38,74.38,200.81,233.21
ENSMUSG00000059280,1.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059288,531.0,455.0,563.0,519.0,474.0,557.0
ENSMUSG00000059291,6812.26,8952.59,6645.57,9523.13,8384.52,9819.74
ENSMUSG00000059301,0.0,1.0,0.0,5.06,0.0,0.0
ENSMUSG00000059303,2.0,2.0,5.0,3.0,1.0,3.0
ENSMUSG00000059305,26.0,8.0,11.0,21.0,30.0,5.0
ENSMUSG00000059316,3320.0,3962.0,3544.0,3994.0,2932.0,3709.0
ENSMUSG00000059319,14.86,6.0,7.0,4.0,2.0,5.0
ENSMUSG00000059323,2491.0,3314.0,2769.0,3466.0,2846.0,3764.0
ENSMUSG00000059325,468.0,493.0,471.2,631.6,680.65,663.69
ENSMUSG00000059326,172.0,132.0,169.0,152.0,156.0,178.0
ENSMUSG00000059327,161.0,178.0,152.0,208.0,157.0,143.0
ENSMUSG00000059334,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059336,497.0,411.0,443.0,602.0,372.0,522.0
ENSMUSG00000059343,22.18,29.34,43.23,38.3,33.2,31.14
ENSMUSG00000059352,2.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059355,816.43,1003.44,1356.47,1026.21,1325.7,1783.85
ENSMUSG00000059361,6.0,13.0,3.0,19.0,10.0,10.53
ENSMUSG00000059363,220.0,248.0,209.0,277.0,209.0,298.0
ENSMUSG00000059366,20.0,23.0,23.0,37.0,12.0,7.0
ENSMUSG00000059371,3.0,0.0,0.0,2.0,0.0,0.0
ENSMUSG00000059375,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059379,52.77,40.44,21.42,40.68,17.65,10.1
ENSMUSG00000059382,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059383,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059395,20.0,10.0,31.0,34.0,13.0,19.0
ENSMUSG00000059397,59.95,37.97,44.74,41.0,23.0,22.83
ENSMUSG00000059401,92.0,89.0,105.0,101.0,83.0,69.0
ENSMUSG00000059406,6.0,6.0,7.0,11.0,8.0,3.0
ENSMUSG00000059408,0.0,2.0,0.0,4.0,4.0,0.0
ENSMUSG00000059409,1636.37,1680.59,2016.02,1760.53,1519.56,1716.72
ENSMUSG00000059410,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059411,19.33,18.35,10.55,14.0,25.4,14.25
ENSMUSG00000059412,782.0,690.0,440.0,577.0,297.0,375.0
ENSMUSG00000059422,88.25,62.64,55.57,66.29,56.22,58.45
ENSMUSG00000059423,505.0,554.0,194.0,469.0,117.0,494.0
ENSMUSG00000059429,87.06,57.97,28.19,68.68,22.03,26.89
ENSMUSG00000059430,284.0,440.0,425.0,553.0,468.0,738.0
ENSMUSG00000059434,16.0,5.0,1.0,2.0,14.0,9.0
ENSMUSG00000059436,1951.0,2100.0,2040.0,2151.0,1655.0,2280.0
ENSMUSG00000059439,915.96,968.67,1168.9,1124.67,771.9,979.94
ENSMUSG00000059447,3617.84,3972.34,3898.53,4260.39,3280.38,3821.89
ENSMUSG00000059448,64.79,43.79,66.99,30.86,38.19,37.47
ENSMUSG00000059455,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059456,824.0,736.0,1031.0,788.0,867.0,678.0
ENSMUSG00000059459,0.87,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059460,44.74,68.28,96.47,45.5,79.86,66.97
ENSMUSG00000059461,82.2,172.81,85.78,73.06,54.68,135.4
ENSMUSG00000059463,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059473,7.0,8.58,14.14,12.3,5.0,4.75
ENSMUSG00000059474,997.0,860.0,980.0,887.0,774.0,812.0
ENSMUSG00000059475,1124.0,1097.0,1274.0,1156.0,897.0,1134.0
ENSMUSG00000059479,519.0,684.0,844.0,659.0,658.0,963.0
ENSMUSG00000059481,0.0,2.0,0.0,0.0,0.0,3.0
ENSMUSG00000059482,834.0,879.0,1132.0,869.0,908.0,1057.0
ENSMUSG00000059483,0.0,8.03,1.01,1.03,2.0,1.21
ENSMUSG00000059486,879.0,881.0,873.0,984.0,652.0,1031.0
ENSMUSG00000059488,386.94,719.81,1110.46,592.67,714.61,1080.91
ENSMUSG00000059493,685.0,607.0,779.0,647.0,422.0,523.0
ENSMUSG00000059495,6265.54,4465.1,5848.66,5077.32,3362.06,3947.27
ENSMUSG00000059498,337.4,318.85,261.05,312.33,388.36,270.44
ENSMUSG00000059503,0.0,0.0,1.02,0.0,2.0,0.0
ENSMUSG00000059504,64.0,47.0,120.0,66.0,70.0,37.0
ENSMUSG00000059511,20.65,13.63,17.65,32.6,14.99,10.24
ENSMUSG00000059518,1698.67,2574.83,2121.56,2558.55,1939.17,3101.21
ENSMUSG00000059534,2357.0,3843.0,2255.0,4108.0,2913.0,4078.0
ENSMUSG00000059540,107.0,159.0,128.0,148.0,120.0,191.0
ENSMUSG00000059547,1.0,0.0,0.0,3.0,1.0,3.0
ENSMUSG00000059552,795.0,815.0,1062.0,899.0,851.0,984.0
ENSMUSG00000059554,461.0,517.0,489.0,579.0,363.0,588.0
ENSMUSG00000059555,1137.0,870.0,1038.0,1112.0,984.0,824.0
ENSMUSG00000059562,2.0,0.0,1.0,4.0,10.0,5.0
ENSMUSG00000059565,0.0,0.0,0.0,0.0,2.03,0.0
ENSMUSG00000059571,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059585,10.86,1.27,2.1,4.43,3.26,1.06
ENSMUSG00000059586,691.0,812.0,973.0,987.0,739.0,915.0
ENSMUSG00000059588,154.0,99.0,143.0,122.0,143.0,180.0
ENSMUSG00000059595,23.0,25.0,10.0,50.0,6.0,11.0
ENSMUSG00000059602,107.78,171.63,187.36,101.75,267.03,204.23
ENSMUSG00000059606,0.0,0.0,0.0,1.0,0.0,0.0
ENSMUSG00000059610,192.0,192.0,201.0,217.0,123.0,108.0
ENSMUSG00000059623,33.0,6.0,19.0,14.0,1.0,8.0
ENSMUSG00000059625,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059626,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059631,0.0,1.0,0.0,0.0,2.0,0.0
ENSMUSG00000059632,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059639,1.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059645,15.06,0.0,5.0,8.0,34.58,33.84
ENSMUSG00000059647,98.24,19.74,35.25,34.34,81.78,72.81
ENSMUSG00000059648,1.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059654,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059657,3.0,12.0,19.0,7.0,8.0,12.0
ENSMUSG00000059658,4.74,6.73,7.43,7.88,5.52,14.85
ENSMUSG00000059659,32.08,45.85,41.45,24.93,23.63,40.95
ENSMUSG00000059663,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059668,4.0,0.0,6.0,5.0,10.0,8.0
ENSMUSG00000059669,388.0,421.0,481.0,482.0,445.0,405.0
ENSMUSG00000059674,84.0,95.4,122.65,91.84,64.0,110.61
ENSMUSG00000059687,1.0,0.0,0.0,0.0,0.0,0.98
ENSMUSG00000059689,955.0,1623.0,1053.0,1528.0,1153.0,1442.0
ENSMUSG00000059690,3.0,2.0,9.0,0.0,1.0,1.29
ENSMUSG00000059695,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059706,0.0,3.0,0.0,3.0,0.0,0.0
ENSMUSG00000059708,1438.0,1355.0,1628.0,1434.0,902.0,1346.0
ENSMUSG00000059713,1204.0,1127.0,1092.0,1261.0,781.0,773.0
ENSMUSG00000059714,2007.0,2618.0,2170.0,2658.0,2125.0,2560.0
ENSMUSG00000059729,25.16,41.74,25.01,23.15,13.39,47.44
ENSMUSG00000059731,5.0,2.0,5.0,5.0,1.0,0.0
ENSMUSG00000059734,2002.0,2735.0,2040.0,2748.0,2164.0,3003.0
ENSMUSG00000059741,1.0,2.0,5.0,2.0,0.0,4.0
ENSMUSG00000059742,283.86,244.76,418.35,237.35,209.8,265.2
ENSMUSG00000059743,2800.29,3787.15,3334.36,4164.1,3303.68,3849.87
ENSMUSG00000059751,23.16,21.75,9.88,3.67,18.47,26.92
ENSMUSG00000059762,22.37,15.0,20.51,21.56,5.0,25.0
ENSMUSG00000059763,68.0,56.0,46.0,94.0,61.0,31.0
ENSMUSG00000059768,1.0,3.0,4.0,7.0,3.0,3.0
ENSMUSG00000059772,449.51,517.06,625.48,615.21,541.71,378.3
ENSMUSG00000059775,198.04,238.98,242.56,276.15,355.16,370.18
ENSMUSG00000059776,3.67,3.72,17.2,16.05,27.14,7.03
ENSMUSG00000059791,119.98,175.0,274.68,258.95,194.95,232.94
ENSMUSG00000059796,8890.5,10266.37,9439.09,10722.74,9668.7,10657.53
ENSMUSG00000059810,7291.89,8007.53,6386.77,8786.33,4939.57,7694.1
ENSMUSG00000059811,2427.0,2003.0,2341.0,2375.0,1742.0,2121.0
ENSMUSG00000059816,29.0,48.0,41.0,45.0,28.0,45.0
ENSMUSG00000059820,1092.25,1130.24,1172.0,1181.98,895.49,1120.12
ENSMUSG00000059821,57.0,27.0,34.0,52.0,27.0,19.0
ENSMUSG00000059824,2463.23,3245.23,2806.88,3140.01,3236.77,2430.55
ENSMUSG00000059827,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059830,0.0,0.0,0.0,0.0,3.11,0.0
ENSMUSG00000059832,0.0,0.0,0.0,0.0,1.0,0.0
ENSMUSG00000059834,565.0,574.0,510.0,546.0,412.0,493.0
ENSMUSG00000059835,16.5,20.54,11.19,18.94,20.95,30.08
ENSMUSG00000059839,507.84,568.09,507.38,472.09,329.79,520.93
ENSMUSG00000059842,324.94,346.0,369.0,341.9,280.75,354.0
ENSMUSG00000059845,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059851,1461.0,1894.0,2089.0,1578.0,1304.0,2074.0
ENSMUSG00000059852,10.0,6.0,9.0,5.0,2.0,16.0
ENSMUSG00000059854,534.34,181.54,308.07,256.4,449.67,292.21
ENSMUSG00000059857,46.0,47.0,43.0,64.0,23.0,38.0
ENSMUSG00000059862,54.31,25.94,18.6,78.09,28.89,46.3
ENSMUSG00000059864,9.53,8.82,4.5,2.15,16.72,7.13
ENSMUSG00000059866,207.0,246.0,235.0,286.0,230.0,243.0
ENSMUSG00000059867,45.03,53.33,33.49,51.12,40.91,21.0
ENSMUSG00000059873,15.19,4.58,23.98,4.47,8.5,7.38
ENSMUSG00000059874,0.0,0.0,3.55,0.0,2.5,13.85
ENSMUSG00000059877,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059878,1010.21,1118.34,1165.25,1127.01,878.26,1126.88
ENSMUSG00000059883,190.03,194.13,203.03,257.17,175.24,219.07
ENSMUSG00000059887,524.49,633.39,1356.4,847.78,1317.77,764.51
ENSMUSG00000059890,2486.0,1966.0,2438.0,2011.0,1578.0,1999.0
ENSMUSG00000059891,6.0,2.0,0.0,1.0,0.0,0.0
ENSMUSG00000059895,7597.0,11112.0,11007.0,10340.0,8823.0,11388.0
ENSMUSG00000059897,112.0,117.0,146.0,161.0,159.0,117.0
ENSMUSG00000059898,1030.0,627.0,1343.0,901.0,891.0,782.0
ENSMUSG00000059900,105.0,104.0,61.0,98.0,97.0,99.0
ENSMUSG00000059901,10.0,24.0,36.0,36.0,23.0,35.0
ENSMUSG00000059908,1.0,0.0,1.0,0.0,0.0,4.0
ENSMUSG00000059910,17.85,11.0,11.05,13.0,18.26,15.29
ENSMUSG00000059912,6.0,7.35,0.0,0.0,2.06,5.37
ENSMUSG00000059920,1327.71,1466.81,1435.0,1524.95,1199.33,1574.87
ENSMUSG00000059921,61.0,40.0,86.0,37.0,80.0,65.0
ENSMUSG00000059923,2476.93,2489.05,2791.36,2659.31,2056.0,2796.71
ENSMUSG00000059934,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059939,382.0,409.0,456.0,368.0,372.0,457.0
ENSMUSG00000059956,4.0,9.0,6.0,2.0,3.0,0.0
ENSMUSG00000059964,64.07,49.74,57.96,63.85,39.77,27.11
ENSMUSG00000059970,831.0,531.0,900.0,680.0,920.0,1066.0
ENSMUSG00000059972,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059974,29.0,44.0,17.0,48.0,18.0,23.0
ENSMUSG00000059975,400.98,357.0,488.8,423.94,273.98,351.99
ENSMUSG00000059981,2499.0,2438.0,2884.0,2608.0,1997.0,2263.0
ENSMUSG00000059991,4170.0,4055.0,3097.0,4818.0,2159.0,3587.0
ENSMUSG00000059994,18.0,18.0,12.0,10.0,18.0,8.0
ENSMUSG00000059995,2008.0,1815.0,2231.0,2059.0,1610.0,1946.0
ENSMUSG00000059996,3.0,2.0,6.0,6.0,1.0,5.0
ENSMUSG00000060002,4733.1,3762.06,3816.45,4167.49,3476.86,3333.92
ENSMUSG00000060012,711.0,367.0,484.0,516.0,364.0,323.0
ENSMUSG00000060017,206.83,169.68,168.49,197.32,101.96,137.77
ENSMUSG00000060019,146.9,209.88,111.15,268.02,219.96,259.12
ENSMUSG00000060024,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000060029,3.01,3.01,11.03,8.05,2.01,6.01
ENSMUSG00000060030,47.71,22.91,31.34,30.36,22.62,2.0
ENSMUSG00000060032,2272.2,3425.3,2182.06,3447.81,2310.97,2874.95
ENSMUSG00000060034,10.0,6.0,9.0,13.0,4.0,6.0
ENSMUSG00000060036,16374.61,19163.95,16514.81,21675.53,19606.5,10052.02
ENSMUSG00000060038,630.96,692.79,724.0,770.49,748.16,738.77
ENSMUSG00000060044,23.0,7.0,19.0,23.0,16.0,22.0
ENSMUSG00000060049,103.76,57.51,50.43,45.24,51.73,45.61
ENSMUSG00000060057,67.11,21.53,54.91,43.3,29.56,21.7
ENSMUSG00000060063,240.0,249.0,312.0,236.0,350.0,262.0
ENSMUSG00000060068,0.0,0.0,0.0,0.0,1.17,0.0
ENSMUSG00000060070,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000060073,3826.12,4754.86,4160.41,4976.34,3663.81,5281.24
ENSMUSG00000060081,0.0,0.0,1.0,0.0,0.0,0.0
ENSMUSG00000060084,22.39,20.72,16.64,30.0,8.0,7.0
ENSMUSG00000060090,4533.0,3625.0,4252.0,4184.0,2567.0,3284.0
ENSMUSG00000060093,3.53,3.85,5.0,3.71,3.85,6.19
ENSMUSG00000060096,96.12,10.03,15.4,37.39,57.89,12.6
ENSMUSG00000060098,683.87,677.41,678.27,677.53,666.47,827.31
ENSMUSG00000060105,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000060112,103.61,89.71,199.81,117.52,139.48,127.44
ENSMUSG00000060114,41.38,42.83,71.75,101.27,47.55,15.97
ENSMUSG00000060121,175.0,265.0,209.0,291.0,229.0,280.0
ENSMUSG00000060126,32838.8,41277.49,31963.72,43572.24,38433.53,45946.53
ENSMUSG00000060128,6.38,3.84,1.1,1.06,1.08,4.23
ENSMUSG00000060131,803.0,612.0,954.0,665.0,548.0,648.0
ENSMUSG00000060143,1615.14,2298.89,1523.67,2478.58,2153.85,2542.91
ENSMUSG00000060147,2959.23,3501.83,3014.85,3765.64,2966.1,3603.82
ENSMUSG00000060149,146.0,117.0,125.0,115.0,125.0,116.0
ENSMUSG00000060152,1185.0,1558.0,1016.0,1744.0,1350.0,1566.0
ENSMUSG00000060161,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000060166,2027.0,2165.0,2752.0,2351.0,1652.0,2207.0
ENSMUSG00000060170,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000060176,1059.89,1006.17,1244.83,1108.93,827.67,1012.21
ENSMUSG00000060177,2.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000060180,1.0,0.0,2.07,0.0,2.0,4.0
ENSMUSG00000060181,797.0,741.0,888.78,816.0,624.97,802.36
ENSMUSG00000060183,3.0,1.0,0.0,0.0,0.0,0.0
ENSMUSG00000060187,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000060188,896.0,473.0,740.0,706.0,1127.0,924.0
ENSMUSG00000060198,42.8,63.12,47.56,40.13,58.56,56.11
ENSMUSG00000060201,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000060204,9.61,9.43,2.73,14.0,4.41,13.34
ENSMUSG00000060205,76.0,79.0,67.0,97.87,40.0,45.0
ENSMUSG00000060206,1886.0,1313.0,1905.0,1372.0,1023.0,1393.0
ENSMUSG00000060208,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000060212,615.86,533.76,752.58,644.79,435.79,565.68
ENSMUSG00000060216,1830.0,2702.0,2517.0,2321.0,1946.0,2599.0
ENSMUSG00000060224,56.0,36.0,50.0,32.0,52.0,48.0
ENSMUSG00000060227,2253.0,1796.0,2224.0,2185.0,1663.0,1599.0
ENSMUSG00000060240,3566.0,4799.0,5387.0,5090.0,3934.0,5070.0
ENSMUSG00000060244,178.86,268.72,256.52,255.89,164.35,282.44
ENSMUSG00000060245,1.0,0.0,9.0,1.0,5.0,0.0
ENSMUSG00000060254,13.54,5.42,9.29,9.55,10.0,1.41
ENSMUSG00000060256,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000060257,5.0,1.0,2.0,10.0,1.0,3.0
ENSMUSG00000060260,415.0,452.0,384.0,469.0,435.0,453.0
ENSMUSG00000060261,10183.0,10047.0,11602.0,10482.0,7591.0,9481.0
ENSMUSG00000060268,86.02,56.02,79.01,78.0,156.68,114.97
ENSMUSG00000060275,63.0,39.0,68.0,84.0,88.0,59.0
ENSMUSG00000060279,2888.29,2547.11,3338.93,2902.14,2325.5,2837.97
ENSMUSG00000060284,445.0,464.0,717.0,647.0,584.0,947.0
ENSMUSG00000060288,512.87,621.77,392.93,618.13,478.49,672.08
ENSMUSG00000060301,946.0,955.0,1083.0,947.0,732.0,1148.0
ENSMUSG00000060303,33.47,22.64,12.12,20.23,6.1,16.52
ENSMUSG00000060311,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000060314,108.0,69.0,180.0,100.0,124.0,99.0
ENSMUSG00000060317,2.98,0.0,2.38,1.62,0.0,0.0
ENSMUSG00000060332,0.0,0.0,1.0,0.0,0.0,0.0
ENSMUSG00000060335,13.0,0.0,3.05,5.17,1.02,1.02
ENSMUSG00000060336,172.53,101.45,119.34,119.19,95.89,116.36
ENSMUSG00000060371,12.0,8.0,8.0,10.0,2.0,7.0
ENSMUSG00000060373,6340.7,6889.42,6845.99,6810.21,4952.09,8028.34
ENSMUSG00000060375,1.0,3.0,3.0,3.0,3.0,12.0
ENSMUSG00000060376,2924.0,3746.0,3425.0,3890.0,3827.0,3943.0
ENSMUSG00000060377,1.36,2.78,1.39,0.0,2.76,1.38
ENSMUSG00000060380,301.0,384.0,474.0,443.0,435.0,521.0
ENSMUSG00000060393,8.69,4.49,16.99,11.05,8.91,9.47
ENSMUSG00000060397,156.0,152.0,162.0,178.0,94.0,116.0
ENSMUSG00000060402,886.0,1115.0,1345.0,1105.0,933.0,1266.0
ENSMUSG00000060404,10.3,9.79,16.16,7.78,7.99,4.68
ENSMUSG00000060407,2.0,0.0,2.49,3.0,0.0,3.0
ENSMUSG00000060411,0.0,0.0,0.0,1.0,0.0,0.0
ENSMUSG00000060412,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000060416,0.0,0.0,0.0,0.0,0.0,0.0
