,WT2_S2_L001,WT1_S1_L001,KO1_S4_L001,WT3_S3_L001,KO2_S5_L001,KO3_S6_L001
ENSMUSG00000000804,1893.0,1393.0,1764.0,1689.0,1153.0,1422.0
ENSMUSG00000000805,698.0,1151.0,949.0,1145.0,784.0,648.0
ENSMUSG00000000811,201.0,208.0,345.0,304.0,300.0,304.0
ENSMUSG00000000817,10.0,13.0,5.0,3.0,1.0,0.0
ENSMUSG00000000823,1732.0,1552.96,2110.15,1751.46,1514.33,1707.44
ENSMUSG00000000826,4276.0,4069.0,4958.0,4383.0,3563.0,4502.0
ENSMUSG00000000827,5225.0,5662.0,5883.55,6224.0,4782.0,5859.0
ENSMUSG00000000838,1608.18,1200.0,1573.38,1455.66,978.73,1189.0
ENSMUSG00000000861,2147.99,1972.0,2668.0,2147.0,1753.0,2250.99
ENSMUSG00000000869,27.0,12.0,20.0,7.0,7.0,7.0
ENSMUSG00000000876,564.0,572.0,637.0,666.0,621.0,628.0
ENSMUSG00000000881,1775.0,1978.0,2132.0,2029.0,1549.0,1842.0
ENSMUSG00000000884,254.2,366.43,355.0,342.68,320.0,404.0
ENSMUSG00000000889,1.0,2.0,5.0,5.0,4.0,5.0
ENSMUSG00000000901,96.0,81.0,127.0,109.0,66.0,93.0
ENSMUSG00000000902,2130.0,2950.0,2810.0,3062.0,2227.0,3241.0
ENSMUSG00000000903,910.0,1271.0,849.0,1310.0,857.0,1409.0
ENSMUSG00000000915,2109.36,2208.48,2225.77,2390.93,1721.82,2406.5
ENSMUSG00000000916,432.95,628.4,424.14,468.26,306.07,596.57
ENSMUSG00000000934,209.0,246.0,228.0,253.0,178.0,260.0
ENSMUSG00000000938,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000942,0.0,0.0,0.0,1.0,0.0,0.0
ENSMUSG00000000948,20.6,7.07,5.13,12.0,7.0,6.0
ENSMUSG00000000957,2002.0,2331.0,3264.0,2578.0,2117.0,3419.0
ENSMUSG00000000958,137.84,69.32,108.03,130.94,139.36,146.34
ENSMUSG00000000959,1455.16,1562.68,1632.97,1619.06,1498.64,1703.66
ENSMUSG00000000976,1394.0,1240.0,1389.0,1288.0,912.0,1106.0
ENSMUSG00000000982,3.0,2.0,8.0,8.0,9.0,12.0
ENSMUSG00000000983,13601.0,6269.0,6467.0,3453.0,57160.0,7345.0
ENSMUSG00000001014,1.0,5.0,6.0,3.0,15.0,5.0
ENSMUSG00000001016,3010.95,3482.98,3623.54,3593.07,2955.65,4188.68
ENSMUSG00000001017,6367.87,6480.87,6846.98,6877.68,5023.94,7328.73
ENSMUSG00000001018,1887.05,1837.02,2135.46,2120.93,1911.35,1979.32
ENSMUSG00000001020,630.81,832.0,583.0,924.0,539.0,1239.0
ENSMUSG00000001021,430.86,428.0,419.0,504.0,302.0,644.0
ENSMUSG00000001023,62523.0,99211.0,90872.0,102077.0,59946.0,108277.0
